tac_code,manufacturer,model,device_type,operating_system,band_support,approved_date,status
108203,Lenovo,Lenovo X-94,tablet,Android,GSM;WCDMA;LTE,2021-05-04,active
212235,Samsung,Samsung X-44,tablet,Android,GSM;WCDMA;LTE,2021-12-11,active
313487,Lenovo,Lenovo X-74,tablet,Android,GSM;WCDMA;LTE;NR,2020-02-21,active
544151,Huawei,Huawei X-10,router,HarmonyOS,GSM;WCDMA;LTE,2021-11-09,active
269430,Huawei,Huawei X-81,tablet,HarmonyOS,GSM;WCDMA;LTE,2020-12-05,active
672092,Xiaomi,Xiaomi X-84,smartphone,Android,GSM;WCDMA;LTE;NR,2023-03-02,active
423232,Samsung,Samsung X-55,smartphone,Android,GSM;WCDMA;LTE,2021-11-04,active
470858,Huawei,Huawei X-89,tablet,HarmonyOS,GSM;WCDMA;LTE;NR,2021-03-26,active
950155,Oppo,Oppo X-13,smartphone,Android,GSM;WCDMA;LTE,2022-07-26,active
802448,TP-Link,TP-Link X-44,router,Embedded Linux,GSM;WCDMA;LTE,2025-02-13,active
140605,TP-Link,TP-Link X-35,router,Embedded Linux,GSM;WCDMA;LTE;NR,2023-06-10,active
960394,Samsung,Samsung X-38,tablet,Android,GSM;WCDMA;LTE,2021-07-11,active
392136,Netgear,Netgear X-54,router,Embedded Linux,GSM;WCDMA;LTE;NR,2023-11-27,active
662262,Samsung,Samsung X-24,smartphone,Android,GSM;WCDMA;LTE;NR,2022-03-19,active
378361,Vivo,Vivo X-65,smartphone,Android,GSM;WCDMA;LTE,2022-07-20,active
636265,Vivo,Vivo X-34,smartphone,Android,GSM;WCDMA;LTE,2025-07-01,active
645175,SimCom,SimCom X-56,iot,RTOS,GSM;WCDMA;NR,2025-06-20,active
429164,Apple,iPad Mini 6,tablet,iOS,GSM;WCDMA;LTE,2023-06-13,active
831076,Apple,iPhone 12,smartphone,iOS,GSM;WCDMA;LTE;NR,2023-11-24,active
282480,Lenovo,Lenovo X-61,tablet,Android,GSM;WCDMA;LTE;NR,2020-05-10,active
320392,Vivo,Vivo X-87,smartphone,Android,GSM;WCDMA;LTE;NR,2023-08-15,active
808446,Oppo,Oppo X-31,smartphone,Android,GSM;WCDMA;LTE;NR,2022-09-22,active
763686,Apple,iPad Mini 6,tablet,iOS,GSM;WCDMA;LTE,2021-03-01,active
148458,Oppo,Oppo X-88,smartphone,Android,GSM;WCDMA;LTE;NR,2020-08-14,active
760356,Realme,Realme X-99,smartphone,Android,GSM;WCDMA;LTE,2023-04-05,active
787926,Apple,iPad Mini 4,tablet,iOS,GSM;WCDMA;LTE,2025-09-15,active
152657,Samsung,Samsung X-68,smartphone,Android,GSM;WCDMA;LTE,2023-11-17,active
686075,Oppo,Oppo X-88,smartphone,Android,GSM;WCDMA;LTE;NR,2024-07-27,active
674485,Apple,iPhone 14,smartphone,iOS,GSM;WCDMA;LTE;NR,2021-11-09,active
903013,Huawei,Huawei X-90,tablet,HarmonyOS,GSM;WCDMA;LTE,2023-02-23,active
399607,Xiaomi,Xiaomi X-50,smartphone,Android,GSM;WCDMA;LTE;NR,2020-03-05,active
342495,Apple,iPhone 12,smartphone,iOS,GSM;WCDMA;LTE,2023-06-18,active
588557,Apple,iPhone 14,smartphone,iOS,GSM;WCDMA;LTE,2024-12-01,active
998348,ZTE,ZTE X-71,router,Embedded Linux,GSM;WCDMA;LTE,2022-05-25,active
508930,ZTE,ZTE X-78,router,Embedded Linux,GSM;WCDMA;LTE;NR,2024-10-08,active
611945,Oppo,Oppo X-72,smartphone,Android,GSM;WCDMA;LTE,2022-11-22,active
936912,Apple,iPhone 14,smartphone,iOS,GSM;WCDMA;LTE;NR,2024-09-01,active
513160,Realme,Realme X-13,smartphone,Android,GSM;WCDMA;LTE,2023-03-28,active
584125,Xiaomi,Xiaomi X-58,smartphone,Android,GSM;WCDMA;LTE,2023-06-11,active
898207,Netgear,Netgear X-63,router,Embedded Linux,GSM;WCDMA;LTE,2020-08-01,active
885408,Xiaomi,Xiaomi X-38,smartphone,Android,GSM;WCDMA;LTE;NR,2025-01-25,active
132537,SimCom,SimCom X-12,iot,RTOS,GSM;WCDMA;NR,2021-03-16,active
801978,Apple,iPhone 14,smartphone,iOS,GSM;WCDMA;LTE;NR,2022-03-20,active
736745,Quectel,Quectel X-30,iot,RTOS,GSM;WCDMA;NR,2020-10-01,active
427110,Oppo,Oppo X-60,smartphone,Android,GSM;WCDMA;LTE;NR,2021-02-19,active
824161,TP-Link,TP-Link X-23,router,Embedded Linux,GSM;WCDMA;LTE;NR,2022-11-20,active
944657,Vivo,Vivo X-15,smartphone,Android,GSM;WCDMA;LTE,2023-11-12,active
172306,Xiaomi,Xiaomi X-11,smartphone,Android,GSM;WCDMA;LTE;NR,2023-02-14,active
479781,Huawei,Huawei X-29,tablet,HarmonyOS,GSM;WCDMA;LTE;NR,2025-09-21,active
383201,Huawei,Huawei X-69,tablet,HarmonyOS,GSM;WCDMA;LTE;NR,2025-10-09,active
437960,Huawei,Huawei X-45,router,HarmonyOS,GSM;WCDMA;LTE;NR,2021-08-19,active
739979,Lenovo,Lenovo X-13,tablet,Android,GSM;WCDMA;LTE;NR,2022-03-16,active
322423,Xiaomi,Xiaomi X-53,smartphone,Android,GSM;WCDMA;LTE,2024-12-09,active
682789,Apple,iPhone 11,smartphone,iOS,GSM;WCDMA;LTE,2023-08-18,active
894993,Oppo,Oppo X-92,smartphone,Android,GSM;WCDMA;LTE;NR,2023-01-03,active
408528,Realme,Realme X-41,smartphone,Android,GSM;WCDMA;LTE,2024-06-16,active
680358,Oppo,Oppo X-80,smartphone,Android,GSM;WCDMA;LTE,2025-08-09,active
421517,Samsung,Samsung X-34,smartphone,Android,GSM;WCDMA;LTE,2025-09-25,active
823688,Apple,iPhone 14,smartphone,iOS,GSM;WCDMA;LTE,2024-09-20,active
396745,SimCom,SimCom X-47,iot,RTOS,GSM;WCDMA,2021-05-01,active
842411,Xiaomi,Xiaomi X-15,smartphone,Android,GSM;WCDMA;LTE;NR,2024-05-23,active
232413,Huawei,Huawei X-23,tablet,HarmonyOS,GSM;WCDMA;LTE;NR,2024-05-16,active
601968,Apple,iPhone 11,smartphone,iOS,GSM;WCDMA;LTE,2023-02-27,active
168517,Samsung,Samsung X-83,smartphone,Android,GSM;WCDMA;LTE;NR,2020-03-05,active
950544,Xiaomi,Xiaomi X-20,smartphone,Android,GSM;WCDMA;LTE;NR,2020-09-25,active
536390,Samsung,Samsung X-76,tablet,Android,GSM;WCDMA;LTE,2023-05-28,active
717113,Sierra Wireless,Sierra Wireless X-82,iot,Embedded Linux,GSM;WCDMA;NR,2024-12-04,active
899787,Apple,iPhone 13,smartphone,iOS,GSM;WCDMA;LTE;NR,2021-04-06,active
678805,Samsung,Samsung X-62,smartphone,Android,GSM;WCDMA;LTE;NR,2024-08-10,active
134225,Realme,Realme X-46,smartphone,Android,GSM;WCDMA;LTE;NR,2023-02-22,active
344762,SimCom,SimCom X-64,iot,RTOS,GSM;WCDMA,2021-11-05,active
378535,Huawei,Huawei X-17,router,HarmonyOS,GSM;WCDMA;LTE,2022-10-24,active
964278,Xiaomi,Xiaomi X-66,smartphone,Android,GSM;WCDMA;LTE,2025-05-23,active
522060,Telit,Telit X-66,iot,RTOS,GSM;WCDMA,2020-07-24,active
437978,Apple,iPad Mini 4,tablet,iOS,GSM;WCDMA;LTE;NR,2024-10-01,active
901909,Lenovo,Lenovo X-83,tablet,Android,GSM;WCDMA;LTE,2021-08-17,active
783157,Xiaomi,Xiaomi X-33,smartphone,Android,GSM;WCDMA;LTE;NR,2023-11-27,active
615611,Telit,Telit X-54,iot,RTOS,GSM;WCDMA;NR,2022-11-04,active
999398,Oppo,Oppo X-98,smartphone,Android,GSM;WCDMA;LTE;NR,2025-07-27,active
897441,Oppo,Oppo X-21,smartphone,Android,GSM;WCDMA;LTE,2022-02-25,active
523808,Huawei,Huawei X-94,router,HarmonyOS,GSM;WCDMA;LTE;NR,2023-07-02,active
296694,Vivo,Vivo X-73,smartphone,Android,GSM;WCDMA;LTE;NR,2020-04-09,active
675898,Xiaomi,Xiaomi X-66,smartphone,Android,GSM;WCDMA;LTE;NR,2023-02-01,active
760626,Samsung,Samsung X-30,tablet,Android,GSM;WCDMA;LTE,2020-09-14,active
197736,Samsung,Samsung X-69,smartphone,Android,GSM;WCDMA;LTE;NR,2025-03-16,active
851413,Realme,Realme X-44,smartphone,Android,GSM;WCDMA;LTE;NR,2023-08-08,active
578975,Oppo,Oppo X-34,smartphone,Android,GSM;WCDMA;LTE;NR,2024-12-05,active
173201,Oppo,Oppo X-53,smartphone,Android,GSM;WCDMA;LTE;NR,2024-05-27,active
102689,Xiaomi,Xiaomi X-85,smartphone,Android,GSM;WCDMA;LTE;NR,2025-08-28,active
255813,Oppo,Oppo X-54,smartphone,Android,GSM;WCDMA;LTE,2024-07-15,active
437408,TP-Link,TP-Link X-83,router,Embedded Linux,GSM;WCDMA;LTE,2023-01-11,active
880879,Oppo,Oppo X-59,smartphone,Android,GSM;WCDMA;LTE;NR,2025-03-16,active
138817,Vivo,Vivo X-52,smartphone,Android,GSM;WCDMA;LTE;NR,2023-02-17,active
579123,Apple,iPhone 14,smartphone,iOS,GSM;WCDMA;LTE;NR,2021-02-16,active
919488,Sierra Wireless,Sierra Wireless X-89,iot,Embedded Linux,GSM;WCDMA;NR,2025-02-28,active
444525,ZTE,ZTE X-50,router,Embedded Linux,GSM;WCDMA;LTE;NR,2023-09-02,active
747453,Realme,Realme X-97,smartphone,Android,GSM;WCDMA;LTE;NR,2021-12-03,active
555052,Quectel,Quectel X-66,iot,RTOS,GSM;WCDMA,2022-01-02,active
440131,Lenovo,Lenovo X-55,tablet,Android,GSM;WCDMA;LTE,2021-04-17,active
532067,Apple,iPhone 12,smartphone,iOS,GSM;WCDMA;LTE,2024-07-20,active
816318,Vivo,Vivo X-28,smartphone,Android,GSM;WCDMA;LTE,2025-05-15,active
367729,Huawei,Huawei X-46,tablet,HarmonyOS,GSM;WCDMA;LTE;NR,2021-02-15,active
462351,Sierra Wireless,Sierra Wireless X-91,iot,Embedded Linux,GSM;WCDMA;NR,2025-05-15,active
986365,Oppo,Oppo X-71,smartphone,Android,GSM;WCDMA;LTE,2023-10-12,active
702733,Realme,Realme X-47,smartphone,Android,GSM;WCDMA;LTE,2025-07-09,active
108491,Realme,Realme X-16,smartphone,Android,GSM;WCDMA;LTE;NR,2025-08-27,active
400096,Samsung,Samsung X-87,tablet,Android,GSM;WCDMA;LTE;NR,2021-11-07,active
751051,Realme,Realme X-94,smartphone,Android,GSM;WCDMA;LTE;NR,2021-11-04,active
757937,Lenovo,Lenovo X-66,tablet,Android,GSM;WCDMA;LTE,2022-12-05,active
194511,Sierra Wireless,Sierra Wireless X-63,iot,Embedded Linux,GSM;WCDMA,2021-09-12,active
656639,Xiaomi,Xiaomi X-31,smartphone,Android,GSM;WCDMA;LTE,2023-05-24,active
455168,ZTE,ZTE X-19,router,Embedded Linux,GSM;WCDMA;LTE,2021-11-24,active
807166,Sierra Wireless,Sierra Wireless X-21,iot,Embedded Linux,GSM;WCDMA;NR,2020-05-18,active
229592,Realme,Realme X-96,smartphone,Android,GSM;WCDMA;LTE,2023-11-12,active
213609,Huawei,Huawei X-13,tablet,HarmonyOS,GSM;WCDMA;LTE;NR,2024-06-20,active
332120,Huawei,Huawei X-99,tablet,HarmonyOS,GSM;WCDMA;LTE,2023-02-05,active
147549,Sierra Wireless,Sierra Wireless X-73,iot,Embedded Linux,GSM;WCDMA,2021-09-05,active
507524,Realme,Realme X-99,smartphone,Android,GSM;WCDMA;LTE;NR,2023-10-24,active
861894,Oppo,Oppo X-93,smartphone,Android,GSM;WCDMA;LTE,2023-10-14,active
393328,Xiaomi,Xiaomi X-37,smartphone,Android,GSM;WCDMA;LTE;NR,2021-06-04,active
818987,Realme,Realme X-55,smartphone,Android,GSM;WCDMA;LTE,2022-04-04,active
989227,Huawei,Huawei X-94,router,HarmonyOS,GSM;WCDMA;LTE,2025-10-01,active
153035,Samsung,Samsung X-26,tablet,Android,GSM;WCDMA;LTE;NR,2021-02-27,active
902325,Vivo,Vivo X-37,smartphone,Android,GSM;WCDMA;LTE;NR,2021-06-25,active
254721,Apple,iPad Mini 4,tablet,iOS,GSM;WCDMA;LTE;NR,2024-05-26,active
282973,Samsung,Samsung X-26,smartphone,Android,GSM;WCDMA;LTE,2021-10-11,active
116547,Samsung,Samsung X-26,smartphone,Android,GSM;WCDMA;LTE;NR,2024-02-24,active
166645,Xiaomi,Xiaomi X-75,smartphone,Android,GSM;WCDMA;LTE;NR,2023-09-08,active
744986,Realme,Realme X-76,smartphone,Android,GSM;WCDMA;LTE,2025-01-02,active
602248,ZTE,ZTE X-97,router,Embedded Linux,GSM;WCDMA;LTE,2025-08-03,active
184714,Apple,iPhone 11,smartphone,iOS,GSM;WCDMA;LTE,2024-11-19,active
674993,Huawei,Huawei X-86,tablet,HarmonyOS,GSM;WCDMA;LTE;NR,2023-09-20,active
551096,Realme,Realme X-24,smartphone,Android,GSM;WCDMA;LTE;NR,2025-09-24,active
325468,Apple,iPhone 14,smartphone,iOS,GSM;WCDMA;LTE,2023-07-14,active
865054,Oppo,Oppo X-50,smartphone,Android,GSM;WCDMA;LTE;NR,2022-03-22,active
597305,Samsung,Samsung X-21,smartphone,Android,GSM;WCDMA;LTE;NR,2025-12-12,active
951201,Samsung,Samsung X-85,smartphone,Android,GSM;WCDMA;LTE;NR,2024-06-22,active
228168,Realme,Realme X-64,smartphone,Android,GSM;WCDMA;LTE;NR,2025-01-10,active
729575,Samsung,Samsung X-83,smartphone,Android,GSM;WCDMA;LTE;NR,2021-11-16,active
335137,Netgear,Netgear X-81,router,Embedded Linux,GSM;WCDMA;LTE,2022-10-08,active
946432,Vivo,Vivo X-89,smartphone,Android,GSM;WCDMA;LTE;NR,2025-09-01,active
738577,Sierra Wireless,Sierra Wireless X-13,iot,Embedded Linux,GSM;WCDMA,2025-05-11,active
468074,Apple,iPhone 15,smartphone,iOS,GSM;WCDMA;LTE;NR,2020-03-24,active
763928,Quectel,Quectel X-77,iot,RTOS,GSM;WCDMA,2023-08-11,active
265055,Realme,Realme X-51,smartphone,Android,GSM;WCDMA;LTE;NR,2024-10-03,active
155164,Vivo,Vivo X-16,smartphone,Android,GSM;WCDMA;LTE;NR,2022-08-22,active
544611,Oppo,Oppo X-63,smartphone,Android,GSM;WCDMA;LTE,2024-02-12,active
550797,Realme,Realme X-96,smartphone,Android,GSM;WCDMA;LTE;NR,2024-11-10,active
147623,Vivo,Vivo X-17,smartphone,Android,GSM;WCDMA;LTE,2022-04-25,active
243901,Lenovo,Lenovo X-51,tablet,Android,GSM;WCDMA;LTE,2023-12-14,active
284229,Vivo,Vivo X-39,smartphone,Android,GSM;WCDMA;LTE;NR,2025-06-03,active
516359,Huawei,Huawei X-65,router,HarmonyOS,GSM;WCDMA;LTE,2020-06-19,active
550137,Realme,Realme X-91,smartphone,Android,GSM;WCDMA;LTE;NR,2020-07-01,active
440544,Vivo,Vivo X-68,smartphone,Android,GSM;WCDMA;LTE;NR,2022-02-14,active
985506,Oppo,Oppo X-85,smartphone,Android,GSM;WCDMA;LTE;NR,2020-07-28,active
425346,Samsung,Samsung X-52,tablet,Android,GSM;WCDMA;LTE;NR,2020-09-21,active
219565,Apple,iPhone 13,smartphone,iOS,GSM;WCDMA;LTE,2025-03-08,active
207798,Apple,iPhone 12,smartphone,iOS,GSM;WCDMA;LTE;NR,2025-02-06,active
910389,Huawei,Huawei X-82,tablet,HarmonyOS,GSM;WCDMA;LTE;NR,2023-11-19,active
774225,Lenovo,Lenovo X-90,tablet,Android,GSM;WCDMA;LTE,2023-02-16,active
563688,Lenovo,Lenovo X-85,tablet,Android,GSM;WCDMA;LTE,2024-02-10,active
584172,Samsung,Samsung X-57,smartphone,Android,GSM;WCDMA;LTE;NR,2020-11-28,active
996840,Vivo,Vivo X-74,smartphone,Android,GSM;WCDMA;LTE,2024-09-26,active
874814,ZTE,ZTE X-83,router,Embedded Linux,GSM;WCDMA;LTE;NR,2022-10-16,active
625721,Samsung,Samsung X-67,smartphone,Android,GSM;WCDMA;LTE,2022-12-03,active
629057,Apple,iPad Mini 6,tablet,iOS,GSM;WCDMA;LTE;NR,2023-09-17,active
739427,Xiaomi,Xiaomi X-46,smartphone,Android,GSM;WCDMA;LTE,2022-11-20,active
154909,Lenovo,Lenovo X-18,tablet,Android,GSM;WCDMA;LTE,2024-11-13,active
397949,Realme,Realme X-87,smartphone,Android,GSM;WCDMA;LTE;NR,2022-02-19,active
795847,Xiaomi,Xiaomi X-49,smartphone,Android,GSM;WCDMA;LTE;NR,2025-11-13,active
235215,Samsung,Samsung X-49,smartphone,Android,GSM;WCDMA;LTE;NR,2025-06-27,active
234001,Apple,iPad Mini 6,tablet,iOS,GSM;WCDMA;LTE,2022-05-06,active
324597,Oppo,Oppo X-34,smartphone,Android,GSM;WCDMA;LTE,2021-03-03,active
410160,Huawei,Huawei X-74,router,HarmonyOS,GSM;WCDMA;LTE;NR,2025-09-02,active
794083,Vivo,Vivo X-26,smartphone,Android,GSM;WCDMA;LTE;NR,2021-03-06,active
971728,Samsung,Samsung X-66,tablet,Android,GSM;WCDMA;LTE,2022-11-24,active
349068,Sierra Wireless,Sierra Wireless X-67,iot,Embedded Linux,GSM;WCDMA,2021-05-26,active
922471,Apple,iPhone 13,smartphone,iOS,GSM;WCDMA;LTE;NR,2024-08-15,active
906814,Oppo,Oppo X-74,smartphone,Android,GSM;WCDMA;LTE;NR,2021-04-26,active
734035,Xiaomi,Xiaomi X-16,smartphone,Android,GSM;WCDMA;LTE;NR,2022-09-04,active
845957,Huawei,Huawei X-46,router,HarmonyOS,GSM;WCDMA;LTE,2021-05-15,active
638289,Oppo,Oppo X-21,smartphone,Android,GSM;WCDMA;LTE;NR,2021-08-12,active
127965,Oppo,Oppo X-74,smartphone,Android,GSM;WCDMA;LTE,2023-02-12,active
335445,Samsung,Samsung X-93,smartphone,Android,GSM;WCDMA;LTE,2021-03-02,active
400814,Telit,Telit X-99,iot,RTOS,GSM;WCDMA;NR,2025-08-15,active
745239,Samsung,Samsung X-12,smartphone,Android,GSM;WCDMA;LTE,2021-09-24,active
738457,Samsung,Samsung X-46,smartphone,Android,GSM;WCDMA;LTE,2020-01-08,active
540218,Huawei,Huawei X-18,tablet,HarmonyOS,GSM;WCDMA;LTE,2023-10-18,active
117233,Samsung,Samsung X-28,tablet,Android,GSM;WCDMA;LTE,2020-10-12,active
352249,Apple,iPhone 11,smartphone,iOS,GSM;WCDMA;LTE;NR,2022-02-17,active
670511,Vivo,Vivo X-80,smartphone,Android,GSM;WCDMA;LTE,2023-01-21,active
505674,Sierra Wireless,Sierra Wireless X-12,iot,Embedded Linux,GSM;WCDMA,2020-06-08,active
868544,Apple,iPad Mini 6,tablet,iOS,GSM;WCDMA;LTE;NR,2021-01-12,active
672536,Realme,Realme X-32,smartphone,Android,GSM;WCDMA;LTE;NR,2025-08-23,active
601776,Samsung,Samsung X-18,tablet,Android,GSM;WCDMA;LTE;NR,2023-01-10,active
311383,Apple,iPhone 11,smartphone,iOS,GSM;WCDMA;LTE,2022-09-13,active
955015,Xiaomi,Xiaomi X-14,smartphone,Android,GSM;WCDMA;LTE;NR,2021-05-12,active
918771,Realme,Realme X-52,smartphone,Android,GSM;WCDMA;LTE,2022-07-13,active
879414,Oppo,Oppo X-53,smartphone,Android,GSM;WCDMA;LTE;NR,2023-12-16,active
485191,Sierra Wireless,Sierra Wireless X-20,iot,Embedded Linux,GSM;WCDMA;NR,2020-07-20,active
962287,Xiaomi,Xiaomi X-51,smartphone,Android,GSM;WCDMA;LTE,2022-11-10,active
421384,Realme,Realme X-64,smartphone,Android,GSM;WCDMA;LTE,2023-06-15,active
144412,Lenovo,Lenovo X-88,tablet,Android,GSM;WCDMA;LTE;NR,2022-11-26,active
160144,Realme,Realme X-61,smartphone,Android,GSM;WCDMA;LTE,2025-11-06,active
132653,Vivo,Vivo X-96,smartphone,Android,GSM;WCDMA;LTE;NR,2020-03-03,active
347459,Lenovo,Lenovo X-56,tablet,Android,GSM;WCDMA;LTE,2024-01-20,active
260891,Lenovo,Lenovo X-57,tablet,Android,GSM;WCDMA;LTE;NR,2020-10-05,active
655178,Xiaomi,Xiaomi X-93,smartphone,Android,GSM;WCDMA;LTE,2020-01-24,active
295085,Oppo,Oppo X-81,smartphone,Android,GSM;WCDMA;LTE,2022-12-15,active
324993,Sierra Wireless,Sierra Wireless X-98,iot,Embedded Linux,GSM;WCDMA;NR,2023-04-04,active
242321,ZTE,ZTE X-32,router,Embedded Linux,GSM;WCDMA;LTE;NR,2023-02-26,active
815054,Sierra Wireless,Sierra Wireless X-95,iot,Embedded Linux,GSM;WCDMA,2020-09-18,active
404466,TP-Link,TP-Link X-99,router,Embedded Linux,GSM;WCDMA;LTE;NR,2022-09-08,active
227257,SimCom,SimCom X-40,iot,RTOS,GSM;WCDMA;NR,2020-06-18,active
700076,Vivo,Vivo X-26,smartphone,Android,GSM;WCDMA;LTE;NR,2020-02-10,active
517500,Telit,Telit X-77,iot,RTOS,GSM;WCDMA;NR,2023-10-03,active
231414,Quectel,Quectel X-67,iot,RTOS,GSM;WCDMA;NR,2024-06-05,active
969325,Samsung,Samsung X-26,tablet,Android,GSM;WCDMA;LTE;NR,2020-02-17,active
260448,Apple,iPhone 13,smartphone,iOS,GSM;WCDMA;LTE;NR,2021-06-17,active
397846,Netgear,Netgear X-35,router,Embedded Linux,GSM;WCDMA;LTE;NR,2024-05-05,active
755383,Vivo,Vivo X-21,smartphone,Android,GSM;WCDMA;LTE;NR,2021-10-19,active
261684,Vivo,Vivo X-87,smartphone,Android,GSM;WCDMA;LTE,2024-01-27,active
129751,Realme,Realme X-83,smartphone,Android,GSM;WCDMA;LTE,2021-10-14,active
748133,Huawei,Huawei X-90,tablet,HarmonyOS,GSM;WCDMA;LTE;NR,2025-05-16,active
356773,ZTE,ZTE X-48,router,Embedded Linux,GSM;WCDMA;LTE;NR,2025-01-06,active
560959,Oppo,Oppo X-36,smartphone,Android,GSM;WCDMA;LTE,2021-06-28,active
853258,Xiaomi,Xiaomi X-61,smartphone,Android,GSM;WCDMA;LTE,2022-09-18,active
211341,Oppo,Oppo X-25,smartphone,Android,GSM;WCDMA;LTE,2021-03-04,active
153063,Oppo,Oppo X-88,smartphone,Android,GSM;WCDMA;LTE;NR,2021-06-19,active
856157,Apple,iPhone 14,smartphone,iOS,GSM;WCDMA;LTE;NR,2023-08-10,active
621530,Oppo,Oppo X-74,smartphone,Android,GSM;WCDMA;LTE;NR,2021-04-19,active
470037,Xiaomi,Xiaomi X-73,smartphone,Android,GSM;WCDMA;LTE;NR,2025-11-16,active
399628,Samsung,Samsung X-65,smartphone,Android,GSM;WCDMA;LTE,2022-12-12,active
900961,Samsung,Samsung X-61,smartphone,Android,GSM;WCDMA;LTE,2024-04-12,active
680096,Oppo,Oppo X-74,smartphone,Android,GSM;WCDMA;LTE;NR,2024-05-27,active
753516,Apple,iPad Mini 4,tablet,iOS,GSM;WCDMA;LTE,2022-09-12,active
891638,Vivo,Vivo X-75,smartphone,Android,GSM;WCDMA;LTE;NR,2020-01-02,active
243693,Huawei,Huawei X-76,tablet,HarmonyOS,GSM;WCDMA;LTE;NR,2024-09-05,active
